model,feature_set,mode,total_return_pct,ann_return_pct,sharpe,max_dd_pct,profit_factor,win_rate_pct,trades,final_equity,avg_loss_pct,max_loss_pct,n_stop_loss,n_trailing_stop
lightgbm,technical,original,-20.06,-0.52,0.094,-93.24,1.04,20.1,586,79943270,-1.77,-13.5,,
lightgbm,technical,smart_exit,-43.87,-1.34,0.054,-94.91,1.99,28.9,668,56127206,-1.48,-7.21,31.0,131.0
