model,mode,total_return_pct,ann_return_pct,sharpe,max_dd_pct,profit_factor,win_rate_pct,trades,avg_win_pct,avg_loss_pct,max_loss_pct,avg_hold,final_equity,f1,n_filtered,n_sl,n_trail
random_forest,original,429.29,7.79,0.407,-55.2,1.37,22.7,225,12.95,-2.24,-14.28,6.9,529285093,0.7702993895078377,0,0,0
random_forest,v3,279.07,6.18,0.356,-56.52,3.16,38.2,249,10.29,-1.64,-5.24,5.9,379069426,0.7702993895078377,13,31,55
lightgbm,original,101.36,3.2,0.25,-79.53,1.24,21.4,285,11.05,-1.91,-12.28,5.1,201357633,0.7651141860235847,0,0,0
xgboost,original,65.25,2.29,0.217,-68.4,1.17,19.4,283,11.31,-1.87,-12.28,5.0,165247310,0.7657603902646862,0,0,0
lightgbm,v3,-16.98,-0.83,0.097,-86.88,3.0,37.7,284,8.34,-1.44,-5.13,4.9,83023288,0.7651141860235847,23,40,43
xgboost,v3,-18.66,-0.93,0.091,-81.51,2.85,35.5,282,8.59,-1.43,-5.13,4.9,81339470,0.7657603902646862,23,38,44
