model,feature_set,total_return_pct,ann_return_pct,buy_hold_pct,excess_pct,sharpe,max_dd_pct,win_rate_pct,f1_macro,accuracy,trades,final_equity,profit_vnd,profit_M
random_forest,technical,377.77,4.14,-99.81,477.58,0.283,-88.58,19.8,0.772886062455682,0.7674729799279465,430,477773860,377773860,377.77386
logistic_regression,technical,45.26,0.97,-99.81,145.07,0.183,-90.03,18.8,0.7070152134749849,0.701080802882141,462,145259299,45259299,45.259299
lightgbm,technical,35.68,0.79,-99.81,135.49,0.164,-93.28,18.9,0.7638471457752342,0.7584148224395265,512,135678553,35678553,35.678553
xgboost,technical,4.82,0.12,-99.81,104.63,0.137,-90.21,20.0,0.7670931058053174,0.7618116314976839,486,104818087,4818087,4.818087
