symbol,window,entry_idx,exit_idx,entry_price,exit_price,hold_days,buy_prob,trade_return_pct,max_dd_pct,max_profit_pct,gave_back_pct,entry_wave_pos,actual_target,after_exit_5d_pct,is_win
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],247,257,10.55,9.47,10,0.611,-10.24,-10.24,3.98,14.22,0.0,0,-5.28,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],258,268,9.72,9.64,10,0.812,-0.82,-9.36,0.0,0.82,0.07,0,2.59,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],269,279,10.05,9.72,10,0.738,-3.28,-6.57,0.0,3.28,0.62,0,-11.11,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],280,290,9.72,8.39,10,0.769,-13.68,-16.26,0.0,13.68,0.73,0,2.03,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],291,301,8.64,8.39,10,0.828,-2.89,-2.89,1.97,4.86,0.26,0,5.01,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],302,312,8.56,8.89,10,0.731,3.86,0.0,7.71,3.86,0.46,1,10.24,True
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],313,323,9.14,9.72,10,0.685,6.35,0.0,7.22,0.88,0.9,1,0.82,True
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],324,334,9.8,9.8,10,0.658,0.0,-2.55,1.73,1.73,1.0,0,-1.63,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],335,345,9.8,9.14,10,0.626,-6.73,-6.73,0.0,6.73,0.66,0,-2.74,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],346,356,9.06,8.31,10,0.743,-8.28,-8.28,0.0,8.28,0.0,0,-2.05,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],357,367,8.31,7.15,10,0.765,-13.96,-16.97,1.93,15.88,0.0,0,2.24,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],368,378,7.56,6.98,10,0.783,-7.67,-14.29,0.0,7.67,0.33,0,-7.16,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],379,389,6.98,5.07,10,0.823,-27.36,-27.36,0.0,27.36,0.3,0,22.88,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],390,400,5.57,6.73,10,0.781,20.83,0.0,20.83,0.0,0.21,1,6.24,True
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],401,411,7.15,7.06,10,0.752,-1.26,-4.76,3.36,4.62,1.0,0,-5.81,False
ABB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],412,422,6.98,6.98,10,0.837,0.0,-8.31,0.0,0.0,0.72,0,3.58,False
ABS,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],110,120,27.46,31.25,10,0.643,13.8,0.0,13.8,0.0,1.0,1,-7.1,True
ABS,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],142,152,20.52,18.72,10,0.659,-8.77,-14.42,0.0,8.77,0.07,0,-4.22,False
ABS,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],167,177,18.58,18.23,10,0.602,-1.88,-3.93,19.91,21.8,0.62,0,5.49,False
ABS,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],193,203,19.51,27.56,10,0.606,41.26,-2.67,41.26,0.0,0.83,1,-8.93,True
ABS,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],204,214,26.85,25.05,10,0.791,-6.7,-11.81,3.02,9.72,0.92,0,-13.41,False
ABS,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],225,235,26.19,26.52,10,0.645,1.26,-0.53,10.12,8.86,0.75,1,5.17,True
ABS,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],276,286,25.38,23.2,10,0.624,-8.59,-10.8,0.0,8.59,1.0,0,1.25,False
ABS,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],290,300,24.62,20.46,10,0.625,-16.9,-18.85,0.0,16.9,0.8,0,-21.07,False
ABS,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],373,383,10.99,12.93,10,0.611,17.65,0.0,18.11,0.45,0.6,1,-5.18,True
ABS,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],386,396,12.6,11.74,10,0.606,-6.83,-9.05,0.0,6.83,0.82,0,-3.15,False
ABS,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],412,422,12.36,9.43,10,0.657,-23.71,-24.11,0.0,23.71,0.87,0,2.01,False
ABS,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],476,486,5.8,6.3,10,0.622,8.62,0.0,14.31,5.69,1.0,1,-3.49,True
ABS,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],523,533,5.8,5.59,10,0.608,-3.62,-3.62,4.31,7.93,1.0,0,-0.72,False
ABS,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],598,608,7.59,8.4,10,0.602,10.67,0.0,14.62,3.95,1.0,1,0.0,True
ABS,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],681,691,5.63,5.58,10,0.61,-0.89,-1.42,3.37,4.26,0.94,0,4.84,False
ABS,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],695,705,5.89,5.69,10,0.62,-3.4,-3.57,0.0,3.4,1.0,0,1.58,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],713,723,6.19,5.98,10,0.623,-3.39,-3.88,4.04,7.43,1.0,0,0.5,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],733,743,6.03,6.02,10,0.679,-0.17,-3.81,0.5,0.66,0.16,0,-0.17,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],744,754,6.02,5.96,10,0.75,-1.0,-1.5,1.99,2.99,0.73,0,-1.85,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],755,765,5.96,5.76,10,0.68,-3.36,-4.7,0.0,3.36,0.47,0,-0.87,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],766,776,5.74,5.66,10,0.62,-1.39,-1.57,1.05,2.44,0.17,0,0.0,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],777,787,5.56,4.96,10,0.649,-10.79,-10.97,3.42,14.21,0.0,0,2.62,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],789,799,5.04,5.35,10,0.6,6.15,0.0,6.94,0.79,0.11,1,0.56,True
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],801,811,5.33,5.37,10,0.645,0.75,-1.31,1.69,0.94,0.54,0,2.42,True
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],812,822,5.32,5.4,10,0.672,1.5,0.0,4.7,3.2,0.7,0,-2.04,True
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],823,833,5.32,5.18,10,0.648,-2.63,-3.76,0.19,2.82,0.19,0,-0.97,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],834,844,5.2,5.12,10,0.615,-1.54,-1.54,0.38,1.92,0.18,0,-4.88,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],845,855,5.03,4.73,10,0.664,-5.96,-6.36,0.8,6.76,0.0,0,-9.73,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],862,872,4.3,4.35,10,0.614,1.16,-1.4,3.02,1.86,0.05,0,-1.15,True
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],874,884,4.33,4.31,10,0.629,-0.46,-3.0,1.85,2.31,0.18,0,1.62,False
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],885,895,4.3,4.31,10,0.674,0.23,-1.4,1.86,1.63,0.43,0,-2.32,True
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],896,906,4.29,4.01,10,0.809,-6.53,-6.53,0.23,6.76,0.5,0,-2.0,False
