model,mode,total_return_pct,ann_return_pct,sharpe,max_dd_pct,profit_factor,win_rate_pct,trades,avg_win_pct,avg_loss_pct,max_loss_pct,avg_hold,final_equity,f1,n_filtered,n_sl,n_trail
random_forest,original,122.53,1.92,0.198,-89.7,1.11,21.5,498,9.82,-1.86,-13.5,6.0,222531944,0.775585557706541,0,0,0
lightgbm,original,20.07,0.44,0.135,-93.45,1.08,20.9,575,8.23,-1.66,-12.28,4.8,120071009,0.7609921696201699,0,0,0
random_forest,v3,7.42,0.17,0.124,-93.7,3.26,36.4,508,8.22,-1.45,-5.15,5.7,107418897,0.775585557706541,40,60,84
lightgbm,v3,-13.58,-0.35,0.098,-95.18,3.15,33.5,553,7.74,-1.33,-5.15,4.8,86416386,0.7609921696201699,52,59,75
