model,mode,total_return_pct,ann_return_pct,sharpe,max_dd_pct,profit_factor,win_rate_pct,trades,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,avg_hold,expectancy,final_equity,f1,n_filtered,n_regime,n_sl,n_trail,n_eq_filter,n_circuit_breaker,cb_days
lightgbm,v4,126.51,3.75,0.275,-70.46,7.44,47.8,228,25.53,-1.85,110.75,-7.78,5.7,11.24,226505638,0.7651141860235847,149,19,5,19,0,0,0
lightgbm,v5,60.19,2.14,0.216,-54.5,249.51,91.1,214,182.61,-2.16,313.91,-6.48,6.7,166.21,160187821,0.7651141860235847,125,19,3,4,42,136,3575
random_forest,v4,327.37,6.75,0.39,-59.3,7.18,44.9,207,27.03,-1.93,110.75,-7.01,7.0,11.08,427371694,0.7702993895078377,78,14,7,33,0,0,0
random_forest,v5,157.01,4.34,0.339,-46.79,108.19,83.8,191,146.31,-2.26,313.91,-6.18,8.1,122.2,257011886,0.7702993895078377,62,13,0,6,75,64,1924
xgboost,v4,166.27,4.51,0.308,-58.67,8.01,46.3,229,27.12,-1.83,110.75,-7.53,5.7,11.57,266266279,0.7657603902646862,136,19,5,18,0,0,0
xgboost,v5,128.87,3.8,0.319,-48.53,217.92,89.6,211,187.71,-2.17,313.91,-6.48,6.7,167.91,228871505,0.7657603902646862,120,16,3,2,40,138,3455
