symbol,entry_idx,exit_idx,entry_price,exit_price,holding_days,trade_return_pct,max_dd_in_trade_pct,max_profit_in_trade_pct,sub_waves,is_win,entry_wave_pos,entry_dist_from_peak_pct,entry_recent_5d_ret_pct,exit_wave_pos,after_exit_max_up_pct,after_exit_max_down_pct,after_exit_5d_return_pct,after_exit_10d_return_pct,missed_profit_pct,gave_back_pct
AAA,2061,2063,11.62,11.43,2,-1.64,-1.64,0.43,2,False,0.71,-2.84,3.84,0.48,0.79,-13.04,-1.31,-10.94,2.07,2.07
AAA,2066,2067,11.52,11.33,1,-1.65,-1.65,0.0,1,False,0.56,-3.68,-0.86,0.38,-0.44,-12.27,-10.59,-9.27,1.65,1.65
AAA,2132,2136,8.94,8.69,4,-2.8,-2.8,1.01,4,False,1.0,0.0,2.29,0.75,8.29,-0.23,0.23,7.13,3.8,3.8
AAA,2143,2151,8.87,8.95,8,0.9,0.0,6.09,4,True,0.76,-1.77,2.31,0.38,1.12,-3.35,-0.89,1.12,5.19,5.19
AAA,2161,2172,9.05,9.03,11,-0.22,-0.22,3.31,8,False,0.53,-3.83,2.03,0.54,10.63,0.78,2.21,10.63,3.54,3.54
AAA,2177,2206,9.23,10.47,29,13.43,0.0,17.55,16,True,0.75,-1.28,2.21,0.43,1.34,-4.11,-1.81,0.0,4.12,4.12
AAA,2215,2216,10.61,10.47,1,-1.32,-1.32,0.0,1,False,0.7,-2.21,2.81,0.53,3.63,-1.43,2.77,3.15,1.32,1.32
AAA,2221,2227,10.76,10.56,6,-1.86,-1.86,0.84,5,False,0.95,-0.37,2.77,0.64,0.0,-13.83,-8.62,-13.83,2.7,2.7
AAA,2248,2257,10.71,10.56,9,-1.4,-1.4,3.55,7,False,1.0,0.0,6.25,0.73,11.36,1.89,7.77,7.77,4.95,4.95
AAA,2258,2265,10.76,11.28,7,4.83,0.0,9.29,4,True,0.81,-2.98,-2.18,0.69,1.77,-5.94,-2.13,-4.26,4.46,4.46
AAA,2266,2268,11.48,11.19,2,-2.53,-2.53,0.0,1,False,0.82,-2.38,-1.63,0.52,-1.34,-5.18,-5.18,-3.84,2.53,2.53
AAA,2288,2295,11.28,11.24,7,-0.35,-0.35,5.59,4,False,1.0,0.0,4.83,0.48,2.94,-2.58,-0.44,-0.44,5.94,5.94
AAA,2296,2297,11.57,11.24,1,-2.85,-2.85,0.0,1,False,0.74,-2.85,0.0,0.48,2.49,-4.27,0.0,-3.47,2.85,2.85
AAA,2304,2305,11.52,11.19,1,-2.86,-2.86,0.0,1,False,0.63,-3.27,5.21,0.25,-3.04,-11.62,-7.33,-10.72,2.86,2.86
AAA,2398,2401,8.4,8.27,3,-1.55,-1.55,0.95,2,False,0.9,-0.71,0.12,0.62,4.72,-0.85,3.02,1.21,2.5,2.5
AAA,2406,2411,8.52,8.37,5,-1.76,-1.76,1.64,3,False,1.0,0.0,3.02,0.42,0.24,-5.62,-2.99,-5.62,3.4,3.4
AAA,2436,2437,8.32,8.25,1,-0.84,-0.84,0.0,1,False,0.76,-1.54,-1.54,0.64,4.73,0.12,3.88,3.88,0.84,0.84
AAA,2438,2451,8.26,8.39,13,1.57,0.0,4.6,6,True,0.65,-2.25,-0.72,0.48,1.67,-1.79,1.67,-1.55,3.03,3.03
AAA,2456,2457,8.53,8.42,1,-1.29,-1.29,0.0,1,False,0.72,-1.27,1.67,0.44,-1.07,-3.68,-2.73,-3.56,1.29,1.29
AAA,2487,2496,7.28,7.2,9,-1.1,-1.1,1.51,3,False,0.55,-11.22,3.41,0.85,0.56,-2.08,-0.83,-1.67,2.61,2.61
AAA,2502,2503,7.24,7.2,1,-0.55,-0.55,0.0,1,False,0.71,-2.03,0.98,0.63,0.69,-1.67,-0.42,0.42,0.55,0.55
AAA,2511,2512,7.25,7.15,1,-1.38,-1.38,0.0,1,False,0.59,-1.89,2.4,0.29,7.69,0.7,3.36,6.57,1.38,1.38
AAA,2516,2545,7.28,8.42,29,15.66,0.0,20.88,16,True,1.0,0.0,0.41,0.66,0.95,-6.53,-6.53,-3.56,5.22,5.22
AAA,2547,2548,8.5,8.2,1,-3.53,-3.53,0.0,1,False,0.73,-3.41,-0.47,0.4,1.22,-4.02,-1.46,-0.49,3.53,3.53
AAA,2573,2575,8.59,8.2,2,-4.54,-4.54,0.0,1,False,1.0,0.0,5.66,0.36,2.2,-2.56,-0.24,-2.56,4.54,4.54
AAA,2576,2577,8.38,8.17,1,-2.51,-2.51,0.0,1,False,0.66,-2.44,3.33,0.31,1.71,-2.69,0.61,-2.33,2.51,2.51
