model,feature_set,window,train_size,test_size,time_sec,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,cohen_kappa,mcc,hit_rate_buy,avg_return_when_buy,avg_return_when_avoid,buy_signal_ratio,n_buy_signals,n_total
random_forest,technical,train_2016-2019_test_2020,284,294,0.26,0.7993197278911565,0.793647449029363,0.7960881492136147,0.7993197278911565,0.7974467045715277,0.7928298326045461,0.6874763526295875,0.6877141537058019,0.8831168831168831,0.023475935004630834,-0.009738514053526557,0.2619047619047619,77,294
random_forest,technical,train_2018-2021_test_2022,1418,945,0.28,0.7957671957671958,0.790040612520405,0.7958941877941504,0.7957671957671958,0.7927755950439145,0.7898736926563893,0.6653056355862221,0.668912094622888,0.7894736842105263,0.009480231299663555,-0.012685505717069107,0.14074074074074075,133,945
xgboost,technical,train_2018-2021_test_2022,1418,945,0.91,0.8021164021164021,0.7827932451794991,0.8015776339562207,0.8021164021164021,0.8017269358057716,0.7874005895299586,0.675365114356572,0.6754354171847015,0.7657430730478589,0.003082749554622886,0.0,0.4201058201058201,397,945
lightgbm,technical,train_2018-2021_test_2022,1418,945,0.53,0.7904761904761904,0.7768423906596852,0.7896218287547729,0.7904761904761904,0.7899577332795786,0.7778015597326968,0.6572009600058626,0.6573028281942233,0.7443609022556391,0.007826876334844184,-0.015574952004265487,0.14074074074074075,133,945
random_forest,technical,train_2021-2024_test_2025,3872,1183,0.35,0.7590870667793744,0.7721291157522354,0.7574258264973212,0.7590870667793744,0.7568942072836402,0.7651250860047533,0.6365082017584053,0.6377042540472517,0.7727272727272727,0.011305372819827297,-0.00824282195731971,0.31614539306847,374,1183
xgboost,technical,train_2019-2022_test_2023,2279,970,1.04,0.7597938144329897,0.7629764542626291,0.7612486569199985,0.7597938144329897,0.7596756934912648,0.7643276595046716,0.6296854595711423,0.6302978693328042,0.7254004576659039,-0.0011380353364063454,0.0,0.4505154639175258,437,970
random_forest,minimal,train_2018-2021_test_2022,1507,996,0.29,0.7710843373493976,0.7623231570874852,0.7732122463874407,0.7710843373493976,0.7654986749555412,0.7600475042046394,0.6234154754402839,0.6310506002300357,0.75,0.012201933166378949,-0.0133768722586674,0.13654618473895583,136,996
xgboost,technical,train_2016-2019_test_2020,284,294,0.41,0.7619047619047619,0.7553038727928983,0.8260963469491861,0.7619047619047619,0.7713625177187865,0.7590449406704073,0.63503520190108,0.6553234096220487,0.556390977443609,0.003553916829958106,0.0,0.4523809523809524,133,294
random_forest,technical,train_2019-2022_test_2023,2279,970,0.31,0.7515463917525773,0.7652196781485708,0.7521592478575249,0.7515463917525773,0.7498178081559735,0.7572172959945765,0.6213594906323849,0.6230736486669299,0.7798507462686567,0.010316798605429632,-0.0065047799686379516,0.27628865979381445,268,970
lightgbm,technical,train_2021-2024_test_2025,3872,1183,0.83,0.7497886728655959,0.7514894668657265,0.7544029274023066,0.7497886728655959,0.7509401810270533,0.7565515200202952,0.6176879690628678,0.6187934133894766,0.8161993769470405,0.013245141300893723,-0.007235651029435112,0.2713440405748098,321,1183
xgboost,technical,train_2021-2024_test_2025,3872,1183,1.28,0.7455621301775148,0.7451318230747178,0.7540932641594945,0.7455621301775148,0.7472364566245031,0.7527436052147309,0.6100237764336226,0.6125159432844729,0.6642335766423357,-0.0018521611638841258,0.0,0.463229078613694,548,1183
lightgbm,technical,train_2019-2022_test_2023,2279,970,0.67,0.7463917525773196,0.7503262158956109,0.748707773338014,0.7463917525773196,0.7465790402426292,0.7512904459951733,0.6094413646474219,0.6101035944785101,0.8095238095238095,0.012908484292883222,-0.0071114108032507665,0.2597938144329897,252,970
xgboost,technical,train_2017-2020_test_2021,578,840,0.59,0.7583333333333333,0.7595675528042639,0.7602002624111273,0.7583333333333333,0.7588080739542193,0.7506231478098485,0.6126112618077232,0.6128969775153005,0.7252124645892352,-0.005083430745839545,0.0,0.42023809523809524,353,840
xgboost,minimal,train_2018-2021_test_2022,1507,996,0.59,0.7650602409638554,0.7419114840741868,0.7631290928351746,0.7650602409638554,0.7628470253259297,0.7491735113169797,0.6115509361885111,0.6127670312380739,0.7386934673366834,0.005647401361740557,0.0,0.39959839357429716,398,996
lightgbm,minimal,train_2018-2021_test_2022,1507,996,0.35,0.7610441767068273,0.747082681393625,0.7593669119481989,0.7610441767068273,0.7595874112349467,0.7491362130836087,0.6068725330856745,0.607551753949042,0.7293233082706767,0.009969345556823982,-0.015367147483888512,0.13353413654618473,133,996
random_forest,minimal,train_2021-2024_test_2025,4040,1245,0.32,0.7413654618473896,0.7558657804313805,0.7388189571544753,0.7413654618473896,0.738534698442187,0.7479551889079792,0.6101042795259279,0.6114852788105305,0.7684478371501272,0.011823309612315907,-0.00873436541310944,0.3156626506024096,393,1245
xgboost,minimal,train_2017-2020_test_2021,653,854,0.43,0.7517564402810304,0.7757976960101697,0.7603139247079801,0.7517564402810304,0.7515941637191986,0.7448673124050832,0.6085550212751236,0.61185425386829,0.7445482866043613,-0.003149665754557143,0.0,0.3758782201405152,321,854
lightgbm,technical,train_2017-2020_test_2021,578,840,0.46,0.7452380952380953,0.7573920474538783,0.7474807317900904,0.7452380952380953,0.745263841843276,0.7425450768456757,0.5935395030491322,0.5942375114719302,0.8064516129032258,0.015163659301913305,-0.0037716437344883624,0.40595238095238095,341,840
