entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,symbol,model
208,238,30,12.17,,end,2020-12-31,0.9083665338645417,0.014973958333333362,4.706533776301114,1.1448451288000314,2.0,3.0,0.21498505349057923,0.7666666666666667,3,2020-11-19,DGC,0.5,strong,False,False,False,3.64,0.0,9.73,DGC,v16
31,42,11,-8.05,45.34,signal,2020-03-09,0.6338461538461545,0.06022267206477721,29.779068561352545,0.6078837614524197,0.0,2.0,0.0011777869278964542,0.6666666666666666,4,2020-02-21,FPT,0.7,moderate,False,False,False,0.36,-4.73,0.93,FPT,v16
81,106,25,1.88,103.02,signal,2020-06-11,0.9735849056603773,0.003663003663003678,2.364619834494036,0.7418764851645296,3.0,3.0,-0.026639441597060897,0.3333333333333333,2,2020-05-06,FPT,0.5,strong,False,False,False,4.31,0.0,6.3,FPT,v16
132,141,9,-6.14,42.29,signal,2020-07-30,0.7600000000000003,0.017681728880157142,12.883257918552083,1.2417312236275604,3.0,2.0,0.01590806792189855,0.2833333333333333,3,2020-07-17,FPT,0.7,strong,False,False,False,0.64,-1.12,1.67,FPT,v16
156,205,49,8.16,114.6,signal,2020-10-29,0.9174757281553391,0.00835791543756154,26.393344233117418,0.823142858414774,2.0,3.0,0.007946825656823697,0.8,2,2020-08-20,FPT,0.5,strong,False,False,False,0.25,0.0,3.12,FPT,v16
214,250,36,11.52,,end,2020-12-31,0.6505376344086028,0.028371890004364846,-15.561590000409403,0.6487658262188428,1.0,3.0,0.01078290027786688,0.38333333333333336,3,2020-11-11,FPT,0.7,strong,False,False,False,0.0,-1.84,0.87,FPT,v16
3,18,15,3.79,53.81,signal,2020-02-04,0.5774647887323938,0.03671970624235015,18.98922333704939,0.9339960533131872,0.0,1.0,-0.003025942073708914,0.6833333333333333,3,2020-01-07,HPG,0.7,weak,False,False,False,0.0,0.0,0.0,HPG,v16
87,108,21,11.48,115.92,signal,2020-06-16,0.8431372549019607,0.02962962962962966,-5.389378931979849,0.9628600480230054,1.0,2.0,-0.07910080491368014,0.38333333333333336,2,2020-05-15,HPG,0.5,strong,False,False,False,0.37,-2.53,6.44,HPG,v16
113,136,23,-0.54,48.82,trailing_stop,2020-07-24,0.6099290780141852,0.059076262083780764,6.96348581512153,0.7321000289289211,2.0,1.0,-0.03916325279957886,0.016666666666666666,3,2020-06-23,HPG,0.7,strong,False,False,False,3.1,-2.51,0.53,HPG,v16
151,245,94,71.95,,end,2020-12-31,0.8235294117647061,0.026574803149606255,15.236786070456375,0.8303110117224815,0.0,1.0,0.06185962968178374,0.7833333333333333,2,2020-08-14,HPG,0.48999999999999994,strong,False,False,False,-0.39,-1.65,4.17,HPG,v16
14,23,9,-5.38,40.39,signal,2020-02-11,0.8909090909090901,0.009216589861751228,10.996254681647969,1.3842379957063513,3.0,3.0,-0.02965350783172306,0.9666666666666667,3,2020-01-22,MBB,0.7,strong,False,False,False,4.33,-0.76,4.05,MBB,v16
93,108,15,2.19,50.66,signal,2020-06-12,0.8135593220338977,0.02191235059760963,7.53732122350975,1.0545696328123435,1.0,2.0,0.0478415315552463,0.43333333333333335,3,2020-05-22,MBB,0.7,strong,False,False,False,1.83,-1.95,3.84,MBB,v16
166,204,38,12.48,199.95,signal,2020-10-30,0.916666666666667,0.009451795841209797,-1.439232409381674,0.9884844354508948,1.0,2.0,0.014434460502230725,0.7833333333333333,1,2020-09-03,MBB,0.35,strong,False,False,False,1.73,0.0,5.22,MBB,v16
215,247,32,20.72,,end,2020-12-31,0.7428571428571433,0.028257456828885356,23.423423423423415,1.5671153989153213,2.0,3.0,-0.038543209230869874,0.3,5,2020-11-16,MBB,0.7,strong,False,False,False,4.43,-1.24,3.84,MBB,v16
2,11,9,0.11,100.69,signal,2020-01-17,0.5742574257425717,0.023255813953488552,3.55498721227616,1.2062373878784465,2.0,2.0,-0.02932176738638042,0.21666666666666667,5,2020-01-06,REE,0.5,weak,False,False,False,0.0,0.0,0.0,REE,v16
48,57,9,-8.36,68.15,signal,2020-03-30,0.46859903381642515,0.1382778126964173,7.317073170731703,1.4290258106969564,1.0,1.0,0.007810935582250905,0.9833333333333333,4,2020-03-17,REE,0.6,weak,False,False,True,-1.36,-12.0,-4.97,REE,v16
87,107,20,-1.92,189.56,signal,2020-06-12,0.7823529411764718,0.0221424296828245,20.283882783882838,1.1252691422537275,1.0,2.0,-0.01975413616210804,0.31666666666666665,4,2020-05-15,REE,0.35,moderate,False,False,False,2.58,-1.71,2.96,REE,v16
128,138,10,-3.66,2.11,signal,2020-07-27,0.9109589041095898,0.007424328954882866,2.9921547162927737,1.5055662829096375,3.0,2.0,-0.036398795847763926,0.55,3,2020-07-13,REE,1.0,strong,False,True,False,3.0,0.0,4.85,REE,v16
144,185,41,19.12,207.29,peak_protect_dist,2020-10-02,0.9007633587786266,0.007246376811594147,2.2609574333712246,1.074295176077277,3.0,3.0,-0.0492598823249733,0.4166666666666667,2,2020-08-04,REE,0.35,strong,False,False,False,4.36,0.0,3.32,REE,v16
190,241,51,12.17,115.51,signal,2020-12-21,0.9187817258883249,0.007158836689038038,3.831431280161439,0.9184358068113947,4.0,3.0,-0.04797668712752029,0.15,2,2020-10-09,REE,0.5,strong,False,False,False,4.59,0.0,3.69,REE,v16
11,20,9,-3.79,39.19,signal,2020-02-12,0.48437500000000033,0.05436573311367381,-11.742424242424228,1.359191550065088,2.0,2.0,-0.005025877073137518,0.48333333333333334,4,2020-01-30,SSI,0.7,moderate,False,False,False,1.0,-3.19,0.94,SSI,v16
