entry_day,exit_day,holding_days,pnl_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,symbol,max_profit_pct
31,42,11,-8.05,signal,2020-03-09,0.6338461538461545,0.06022267206477721,29.779068561352545,0.6078837614524197,0.0,2.0,0.0011777869278964542,0.6666666666666666,4,2020-02-21,FPT,0.7,moderate,False,False,False,0.36,-4.73,0.93,FPT,45.34
81,108,27,1.88,signal,2020-06-15,0.9735849056603773,0.003663003663003678,2.364619834494036,0.7418764851645296,3.0,3.0,-0.026639441597060897,0.3333333333333333,2,2020-05-06,FPT,0.5,strong,False,False,False,4.31,0.0,6.3,FPT,103.02
132,141,9,-6.14,signal,2020-07-30,0.7600000000000003,0.017681728880157142,12.883257918552083,1.2417312236275604,3.0,2.0,0.01590806792189855,0.2833333333333333,3,2020-07-17,FPT,0.7,strong,False,False,False,0.64,-1.12,1.67,FPT,42.29
159,205,46,4.17,signal,2020-10-29,0.9847328244274812,0.0018939393939393534,6.351655416264876,1.4952748213702602,4.0,4.0,0.02120722889482675,0.8666666666666667,3,2020-08-25,FPT,0.5,strong,False,False,False,4.3,0.0,5.66,FPT,110.59
214,250,36,11.52,end,2020-12-31,0.6505376344086028,0.028371890004364846,-15.561590000409403,0.6487658262188428,1.0,3.0,0.01078290027786688,0.38333333333333336,3,2020-11-11,FPT,0.7,strong,False,False,False,0.0,-1.84,0.87,FPT,
3,18,15,3.79,signal,2020-02-04,0.5774647887323938,0.03671970624235015,18.98922333704939,0.9339960533131872,0.0,1.0,-0.003025942073708914,0.6833333333333333,3,2020-01-07,HPG,0.7,weak,False,False,False,0.0,0.0,0.0,HPG,53.81
81,108,27,10.93,signal,2020-06-16,1.0,0.0,1.0918465349037234,1.007430700433573,3.0,3.0,0.06424718838956706,0.5166666666666667,2,2020-05-07,HPG,0.5,strong,False,False,False,10.3,0.0,14.27,HPG,115.43
113,136,23,-0.54,trailing_stop,2020-07-24,0.6099290780141852,0.059076262083780764,6.96348581512153,0.7321000289289211,2.0,1.0,-0.03916325279957886,0.016666666666666666,3,2020-06-23,HPG,0.7,strong,False,False,False,3.1,-2.51,0.53,HPG,48.82
144,245,101,71.95,end,2020-12-31,0.9264705882352944,0.009842519685039335,16.680814940577264,1.1218443208950946,3.0,3.0,0.029785022955326423,0.65,3,2020-08-05,HPG,0.5,strong,False,False,False,10.8,0.0,6.2,HPG,
14,23,9,-5.38,signal,2020-02-11,0.8909090909090901,0.009216589861751228,10.996254681647969,1.3842379957063513,3.0,3.0,-0.02965350783172306,0.9666666666666667,3,2020-01-22,MBB,0.7,strong,False,False,False,4.33,-0.76,4.05,MBB,40.39
96,112,16,0.0,signal,2020-06-18,0.7656250000000007,0.029821073558648003,-10.1035196687371,1.133358981650302,0.0,1.0,0.006346062692226696,0.35,2,2020-05-27,MBB,0.63,strong,False,False,False,0.0,-1.76,2.72,MBB,66.32
161,204,43,14.42,signal,2020-10-30,0.8518518518518519,0.023076923076923096,6.659012629161907,1.6199919505491729,2.0,4.0,0.002563839804864715,0.85,4,2020-08-26,MBB,0.35,moderate,False,False,False,4.84,-0.95,6.27,MBB,201.76
207,247,40,24.64,end,2020-12-31,0.6491228070175438,0.032414910858995165,13.001869158878513,0.7275554735160535,3.0,4.0,0.017826873925052035,0.25,4,2020-11-04,MBB,0.6,strong,False,False,False,5.11,-2.06,2.35,MBB,
2,17,15,-8.11,signal,2020-02-03,0.5742574257425717,0.023255813953488552,3.55498721227616,1.2062373878784465,2.0,2.0,-0.02932176738638042,0.21666666666666667,5,2020-01-06,REE,0.5,weak,False,False,False,0.0,0.0,0.0,REE,102.5
