entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,symbol
63,74,11,-1.15,279.0,signal,2020-04-24,0.5575221238938054,0.19083969465648853,18.969258589511753,0.739329950860021,2.0,3.0,-0.050564400910498256,0.7,4,2020-04-09,BCG,0.26775,weak,False,False,True,14.41,-14.66,-0.76,balanced,False,BCG
93,110,17,1.31,147.57,signal,2020-06-17,0.9677419354838709,0.006557377049180334,9.194414607948445,0.6854215445867334,2.0,2.0,-0.05421393426647887,0.65,2,2020-05-25,BCG,0.425,strong,False,False,False,5.17,-0.65,9.22,balanced,False,BCG
122,140,18,-3.86,229.57,signal,2020-07-29,0.6406250000000001,0.06824925816023739,38.18619341254325,1.494126513313006,3.0,3.0,-0.0034783192866409476,0.26666666666666666,5,2020-07-03,BCG,0.31875,moderate,False,False,False,6.98,-2.6,4.66,balanced,False,BCG
147,170,23,0.0,202.25,signal,2020-09-15,0.9189189189189191,0.02163461538461535,16.998050682261216,1.1671229782200523,2.0,4.0,0.0012538579802882643,0.8166666666666667,4,2020-08-12,BCG,0.34,strong,False,False,False,25.68,0.0,13.66,balanced,False,BCG
172,194,22,3.09,21.71,signal,2020-10-19,1.0,0.0,1.5172413793103416,1.4641863946210496,4.0,2.0,0.22471174606840932,0.06666666666666667,3,2020-09-17,BCG,0.9,strong,False,False,False,6.84,0.0,7.42,balanced,False,BCG
220,240,20,57.88,,end,2020-12-31,0.8588235294117647,0.024896265560165994,0.4400301734976466,1.42031466415936,1.0,2.0,0.023173741501871833,0.6166666666666667,4,2020-11-24,BCG,0.375,moderate,False,False,False,1.26,-0.62,6.34,balanced,False,BCG
22,43,21,-0.78,152.2,signal,2020-06-29,0.8026315789473685,0.04916018025399423,15.74675324675323,1.306194334245963,3.0,3.0,-0.0638121198088742,0.3,4,2020-05-29,BCM,0.4,strong,False,False,False,12.75,-1.85,15.22,balanced,False,BCM
66,98,32,35.87,155.41,signal,2020-11-03,0.9603340292275578,0.007113440658929155,51.90293584034305,1.5772701070962654,4.0,3.0,-0.024657854555831235,0.55,3,2020-08-04,BCM,0.4,strong,False,True,False,10.69,0.0,9.02,balanced,False,BCM
115,140,25,2.73,,end,2020-12-31,1.0,0.0,35.75581395348842,3.254438551994466,2.0,1.0,0.20770944505944136,0.55,2,2020-11-26,BCM,0.5,strong,False,False,False,6.11,0.0,3.98,balanced,False,BCM
15,24,9,-3.63,64.38,signal,2020-02-12,0.7372372372372372,0.058823529411764705,-16.058920825141243,0.9611246392056236,1.0,3.0,-0.05627839930875838,0.9833333333333333,3,2020-01-30,BID,0.6210000000000001,strong,False,False,False,-2.4,-5.04,4.32,bank,False,BID
91,105,14,3.07,64.6,trailing_stop,2020-06-11,0.7994100294985252,0.03065825067628493,12.134858812074,1.1427284375325368,0.0,2.0,0.01186531401256185,0.3,4,2020-05-22,BID,0.6555,strong,False,False,False,1.79,-1.03,5.79,bank,False,BID
106,115,9,-5.88,115.22,signal,2020-06-25,0.7383720930232552,0.03751563151313056,-5.852047307757417,1.0920216359599668,1.0,1.0,-0.0372066169377817,0.25,2,2020-06-12,BID,0.46,moderate,True,False,False,0.97,-3.42,3.77,bank,False,BID
127,136,9,-7.51,190.87,signal,2020-07-24,0.8528138528138528,0.01458601458601458,8.005362762044065,1.2642812884371735,5.0,3.0,-0.07075800081039472,0.03333333333333333,3,2020-07-13,BID,0.34500000000000003,moderate,False,False,False,3.0,-0.72,2.66,bank,False,BID
165,185,20,-3.41,19.18,signal,2020-10-02,0.9512195121951229,0.0050505050505049425,15.251914169581255,2.0007110821003895,4.0,3.0,-0.07296901248419582,0.55,3,2020-09-04,BID,0.8280000000000001,strong,False,False,False,7.66,-0.25,6.53,bank,False,BID
194,204,10,-8.51,191.78,signal,2020-10-29,0.7571428571428573,0.028511530398322837,21.83974358974367,1.6707457744827976,3.0,3.0,-0.013245497009579221,0.25,4,2020-10-15,BID,0.34500000000000003,moderate,False,False,False,4.61,-1.53,3.14,bank,False,BID
222,249,27,19.68,,end,2020-12-31,0.7578947368421046,0.020026121027427117,-0.43956043956050905,1.169784575700655,0.0,2.0,-0.025207782173252237,0.4083333333333333,3,2020-11-24,BID,0.34500000000000003,moderate,False,False,False,0.97,-1.25,2.48,bank,False,BID
59,70,11,-4.87,277.63,fast_exit_loss,2020-04-21,0.46994535519125696,0.2779369627507162,16.093710211357276,0.8966392512793655,1.0,2.0,0.008381752262914372,0.9166666666666666,4,2020-04-06,BSR,0.26775,weak,False,False,True,10.79,-15.29,-0.07,balanced,False,BSR
90,98,8,14.44,73.15,peak_protect_dist,2020-06-11,0.4912280701754388,0.08055555555555556,-43.57142857142855,0.7745780896868252,1.0,2.0,-0.01786519360395311,0.016666666666666666,3,2020-06-01,BSR,0.675,strong,False,False,False,-1.64,-1.64,2.61,balanced,False,BSR
99,111,12,-1.25,306.19,signal,2020-06-30,0.4166666666666668,0.15749999999999997,-24.259259259259252,1.315688184506328,1.0,0.0,0.8778146254901416,0.7,3,2020-06-12,BSR,0.25,strong,False,False,False,-10.31,-11.5,2.7,balanced,False,BSR
158,185,27,4.44,174.67,signal,2020-10-19,0.7391304347826084,0.031331592689295064,2.4691358024691397,0.9506671939441048,1.0,1.0,0.06611317339143964,0.26666666666666666,3,2020-09-04,BSR,0.375,moderate,False,False,False,1.32,-1.54,3.25,balanced,False,BSR
209,233,24,35.41,,end,2020-12-31,0.4999999999999997,0.09569377990430632,-24.392014519056303,2.0124928918245044,1.0,2.0,0.2239144957570673,0.9833333333333333,4,2020-11-26,BSR,0.375,moderate,False,False,False,4.5,-5.0,4.24,balanced,False,BSR
21,30,9,-3.86,146.88,signal,2020-02-20,0.3695836873406969,0.1454331634653076,9.070912525074831,1.4403581026943444,3.0,4.0,0.101155991606294,0.9833333333333333,5,2020-02-07,BVH,0.4,weak,False,False,True,1.71,-11.53,-5.84,balanced,False,BVH
