symbol,v1_trades,v1_wr,v1_avg_pnl,v1_total_pnl,v1_pf,v1_max_loss,v2_trades,v2_wr,v2_avg_pnl,v2_total_pnl,v2_pf,v2_max_loss,delta_pnl,delta_wr,delta_pf
PGV,18,50.0,6.358,114.45,4.195,-11.32,18,50.0,6.159,110.87,3.708,-11.32,-3.58,0.0,-0.487
GIL,36,41.67,2.953,106.31,1.635,-16.37,37,40.54,2.772,102.57,1.67,-16.37,-3.74,-1.13,0.035
ASM,34,38.24,3.99,135.66,1.969,-21.59,34,38.24,3.88,131.92,2.114,-15.74,-3.74,0.0,0.144
SBT,37,37.84,1.008,37.31,1.254,-21.3,37,37.84,0.902,33.38,1.223,-21.3,-3.93,0.0,-0.031
CSC,24,37.5,3.296,79.11,1.602,-20.61,25,40.0,3.001,75.02,1.577,-20.61,-4.09,2.5,-0.024
SKG,31,45.16,2.238,69.38,1.629,-12.74,27,48.15,2.417,65.26,1.735,-13.14,-4.12,2.99,0.105
LPB,30,50.0,8.433,252.98,4.624,-13.4,31,51.61,8.023,248.72,4.783,-13.4,-4.26,1.61,0.158
TVN,28,39.29,2.838,79.47,1.928,-13.87,30,36.67,2.504,75.11,1.788,-13.87,-4.36,-2.62,-0.14
LHG,32,56.25,3.008,96.26,1.953,-40.87,32,56.25,2.87,91.83,1.796,-40.87,-4.43,0.0,-0.157
LIX,18,38.89,0.629,11.32,1.384,-13.05,16,43.75,0.43,6.88,1.253,-13.05,-4.44,4.86,-0.131
TDC,27,44.44,7.716,208.32,4.289,-14.18,27,44.44,7.551,203.88,4.044,-14.18,-4.44,0.0,-0.246
ANV,38,55.26,3.343,127.04,2.553,-15.28,37,56.76,3.308,122.38,2.481,-15.28,-4.66,1.49,-0.072
VRC,21,42.86,9.463,198.73,2.734,-21.03,22,40.91,8.815,193.94,2.598,-21.03,-4.79,-1.95,-0.135
STK,28,42.86,1.765,49.41,1.482,-22.12,30,40.0,1.475,44.26,1.398,-22.12,-5.15,-2.86,-0.084
KLB,21,52.38,8.791,184.61,4.655,-11.45,21,52.38,8.543,179.4,4.664,-11.45,-5.21,0.0,0.009
DGC,38,39.47,5.062,192.35,2.549,-18.14,38,36.84,4.92,186.96,2.464,-18.14,-5.39,-2.63,-0.085
NNC,22,40.91,2.049,45.08,1.85,-14.46,22,40.91,1.799,39.57,1.771,-12.74,-5.51,0.0,-0.079
GMD,32,43.75,2.391,76.5,2.16,-14.92,31,45.16,2.29,70.98,1.884,-14.92,-5.52,1.41,-0.276
DMC,14,57.14,3.708,51.91,2.308,-11.81,14,64.29,3.301,46.21,2.162,-11.81,-5.7,7.14,-0.147
