symbol,v1_trades,v1_wr,v1_avg_pnl,v1_total_pnl,v1_pf,v1_max_loss,v2_trades,v2_wr,v2_avg_pnl,v2_total_pnl,v2_pf,v2_max_loss,delta_pnl,delta_wr,delta_pf
NHA,28,42.86,8.658,242.43,3.318,-13.66,29,41.38,7.211,209.12,2.675,-13.66,-33.31,-1.48,-0.643
TCL,28,42.86,3.402,95.26,3.395,-5.72,30,36.67,2.056,61.69,1.956,-16.14,-33.57,-6.19,-1.439
IDJ,34,32.35,12.045,409.54,3.317,-18.82,34,32.35,10.973,373.09,3.026,-18.82,-36.45,0.0,-0.291
MST,35,54.29,3.943,137.99,2.541,-16.61,30,56.67,3.362,100.86,1.772,-57.76,-37.13,2.38,-0.77
DHT,19,52.63,14.447,274.5,17.997,-3.12,21,47.62,11.277,236.81,9.8,-5.99,-37.69,-5.01,-8.197
PHP,23,34.78,3.701,85.13,1.954,-13.67,23,26.09,2.018,46.41,1.461,-17.4,-38.72,-8.7,-0.493
KDM,12,50.0,15.802,189.62,5.333,-11.06,13,53.85,11.454,148.9,4.664,-11.06,-40.72,3.85,-0.669
AMV,23,43.48,0.622,14.31,1.176,-15.94,24,29.17,-1.3,-31.21,0.67,-15.94,-45.52,-14.31,-0.506
ACM,8,50.0,12.382,99.06,8.602,-10.53,9,33.33,5.504,49.54,1.875,-20.0,-49.52,-16.67,-6.728
CSV,34,55.88,5.831,198.27,3.523,-14.74,33,54.55,4.44,146.53,2.879,-14.74,-51.74,-1.34,-0.643
API,24,33.33,11.742,281.8,3.5,-16.16,25,32.0,8.98,224.51,3.029,-16.16,-57.29,-1.33,-0.471
WSS,15,40.0,3.036,45.54,1.589,-17.0,17,41.18,-1.041,-17.69,0.795,-17.0,-63.23,1.18,-0.794
NVB,28,35.71,3.003,84.09,1.916,-14.36,32,25.0,0.415,13.27,1.108,-14.36,-70.82,-10.71,-0.808
