buy_proba_for_next_bar,cutoff_date,entry_signal_for_next_bar,exit_signal_for_next_bar,history_rows,latest_bar_date,latest_close,symbol
0.47312581085905636,2026-05-15,0,1,3491,2026-05-15,87.4,GAS
0.44771100683598086,2026-05-15,0,1,2632,2026-05-15,35.55,GEX
0.42426174430185193,2026-05-15,0,1,2138,2026-05-15,53.1,LPB
0.4188286520653448,2026-05-15,0,1,4944,2026-05-15,73.8,STB
0.4036316089180877,2026-05-15,0,1,2041,2026-05-15,30.75,BSR
0.3880971798356092,2026-05-15,0,1,2264,2026-05-15,40.65,PLX
0.38270802195556775,2026-05-15,0,1,5998,2026-05-15,80.9,GMD
0.3675174603544064,2026-05-15,0,1,4646,2026-05-15,225.0,VIC
0.3437392825187979,2026-05-15,0,1,4648,2026-05-15,40.9,PVS
0.3324309050659822,2026-05-15,0,1,3066,2026-05-15,43.3,BID
