timestamp,trend,entry_score,wp,dp,rs,vs,bs,bb,ret5,ret20,ret60,drop20,dist_sma20,breakout,vshape_raw,choppy_regime,ret5_hot,dp_floor,is_real_entry
2018-08-20 03:00:00+00:00,moderate,1,0.44402985074626855,0.015727253535993222,-3.6540514502942543,1.083447089375235,1.0,0.5,-0.001475548060708265,-0.00691823899371069,0.0,-0.014049328754292878,-0.002936254854292275,False,False,False,0.06,0.02,False
2018-08-20 04:00:00+00:00,moderate,2,0.5634328358208973,0.012308015989901043,-2.045300878972256,1.066145625834876,1.0,0.5,-0.003877187467253407,-0.003877187467253407,0.0,-0.010719117494015995,0.000626312493092307,False,False,False,0.06,0.02,False
2018-08-20 06:00:00+00:00,weak,3,0.41044776119403054,0.016693079767564664,10.607464476782106,1.0027472123874304,1.0,0.5,0.0,-0.01354872329338197,0.0,-0.01498595067124564,-0.0030073049596830437,False,False,False,0.06,0.02,False
2018-08-20 07:00:00+00:00,weak,3,0.3544776119402991,0.018306878306878258,15.404018499949629,1.0150747986191024,1.0,0.5,-0.002111932418162654,-0.01490670280412798,0.0,-0.01654698719950043,-0.003837072018890164,False,False,False,0.06,0.02,False
2018-08-21 02:00:00+00:00,weak,3,0.40298507462686467,0.0169079573074078,21.3694828414367,1.0112785856791948,2.0,0.5,0.0008461131676360534,-0.015194088875013056,0.0,-0.013448707256046855,-0.0016984734837695026,False,False,False,0.06,0.02,False
2018-08-21 03:00:00+00:00,moderate,3,0.508196721311475,0.012659563245068046,19.60487661574612,1.053366984054147,2.0,0.5,0.0005277601857716085,-0.01064607034756293,0.0,-0.01178065054211852,0.0005277601857716085,False,False,False,0.06,0.02,False
2018-08-21 04:00:00+00:00,moderate,3,0.4877049180327864,0.013194004644289634,12.314605329311178,1.0179539285600723,2.0,0.5,-0.003366294971596906,-0.011064718162839271,0.0,-0.01230191826522109,0.0005597389293143795,False,False,False,0.06,0.02,False
2018-08-21 06:00:00+00:00,moderate,3,0.6134453781512627,0.009683191243026978,3.9410305064954443,1.0154577267032443,3.0,0.5,0.0038034865293186115,-0.009487072560467102,0.0,-0.004401131719585005,0.0038936407389993377,False,False,False,0.06,0.02,False
2018-08-21 07:00:00+00:00,moderate,2,1.0,0.0,3.872916152064384,0.97953309601046,3.0,0.5,0.014285714285714235,0.01257130783858007,0.0,0.0,0.01213292362277052,False,False,False,0.06,0.02,False
2018-08-22 02:00:00+00:00,moderate,2,0.947580645161292,0.001355578727841454,2.045151304904799,0.9837695810725626,3.0,0.5,0.013420691112755012,0.018587360594795488,0.0,0.0,0.011726106014970261,False,False,False,0.06,0.02,False
2018-08-22 03:00:00+00:00,moderate,1,0.9601593625498008,0.0010421008753647354,-3.3114536914366894,0.9361732176430607,3.0,0.5,0.012343074163941425,0.02433817250213499,0.0,0.0,0.011143015199810424,False,False,False,0.06,0.02,False
2018-08-22 04:00:00+00:00,moderate,2,0.8423236514522795,0.003971571906354586,11.271023992084977,0.9703291446439612,1.0,0.5,0.009921891492505885,0.01993390896492908,0.0,-0.002917882451021314,0.007200303170659783,False,False,False,0.06,0.02,False
